osm_id,osm_type,name,ssid_hint,internet_access,amenity,wifi,operator,lat,lon,vendor,bssid,country,region,first_seen,last_seen,matched_patterns,source,tags
411918020,node,Lotteria,,wlan,fast_food,,,10.7824512,106.6773049,,,,,,2022-05-12T08:57:03Z,,osm_overpass,"{""addr:housenumber"":""01"",""addr:street"":""Nguyễn Thông"",""amenity"":""fast_food"",""branch"":""Ga Sài Gòn"",""brand"":""Lotteria"",""brand:wikidata"":""Q249525"",""cuisine"":""burger"",""internet_access"":""wlan"",""name"":""Lotteria"",""opening_hours"":""Mo-Su 07:00-23:00"",""source"":""survey"",""takeaway"":""yes""}"
729602707,node,Lotteria,,wlan,fast_food,,,10.7676493,106.6953831,,,,,,2022-05-16T07:00:13Z,,osm_overpass,"{""amenity"":""fast_food"",""brand"":""Lotteria"",""brand:wikidata"":""Q249525"",""cuisine"":""burger"",""internet_access"":""wlan"",""name"":""Lotteria"",""name:de"":""Lotteria"",""takeaway"":""yes""}"
729602724,node,Lotteria,,wlan,fast_food,,Lotteria,10.7567799,106.6852501,,,,,,2026-01-09T06:22:15Z,,osm_overpass,"{""addr:housenumber"":""330"",""addr:street"":""Đường Trần Hưng Ðạo"",""amenity"":""fast_food"",""branch"":""Nguyễn Văn Cừ"",""brand"":""Lotteria"",""brand:wikidata"":""Q249525"",""cuisine"":""burger"",""delivery"":""yes"",""internet_access"":""wlan"",""name"":""Lotteria"",""name:en"":""Lotteria"",""not:brand:wikidata"":""Q524757"",""operator"":""Lotteria"",""takeaway"":""yes""}"
1063804286,node,Khách Sạn Sao Nam,,yes,,,,10.7687973,106.6942749,,,,,,2022-05-16T08:17:24Z,,osm_overpass,"{""email"":""haohiep@yahoo.com"",""internet_access"":""yes"",""internet_access:fee"":""no"",""name"":""Khách Sạn Sao Nam"",""phone"":""39206472"",""tourism"":""hotel""}"
1275863719,node,Cà Phê Napoli,,yes,cafe,,,10.7732622,106.6938064,,,,,,2022-05-17T03:53:11Z,,osm_overpass,"{""addr:street"":""Nguyễn Du"",""amenity"":""cafe"",""internet_access"":""yes"",""internet_access:fee"":""no"",""name"":""Cà Phê Napoli"",""smoking"":""yes""}"
1407135685,node,Cà Phê Au Parc,,wlan,cafe,,,10.7787503,106.6981182,,,,Thành phố Hồ Chí Minh,,2022-05-09T06:48:50Z,,osm_overpass,"{""addr:city"":""Thành phố Hồ Chí Minh"",""addr:district"":""Quận 1"",""addr:housenumber"":""32"",""addr:street"":""Hàn Thuyên"",""amenity"":""cafe"",""cuisine"":""mediterranean"",""internet_access"":""wlan"",""name"":""Cà Phê Au Parc"",""opening_hours"":""Mo-Sa 07:30-22:30; Su 08:00-17:00"",""phone"":""3829 2772"",""wheelchair"":""limited""}"
1770193865,node,Cà Phê Đá,,wlan,cafe,,,10.7805631,106.6975344,,,,,,2022-05-10T03:35:57Z,,osm_overpass,"{""addr:housenumber"":""4"",""addr:street"":""Alexandre de Rhodes"",""amenity"":""cafe"",""cuisine"":""coffee_shop"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Cà Phê Đá""}"
1770193907,node,Hội Quán Thanh Niên,,wlan,cafe,,,10.7819478,106.6979915,,,,,,2025-04-28T11:07:36Z,,osm_overpass,"{""amenity"":""cafe"",""cuisine"":""coffee_shop"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Hội Quán Thanh Niên""}"
1969392566,node,Trung Nguyên Coffee,,wlan,cafe,,,10.7817145,106.6982688,,,,,,2025-04-28T11:07:36Z,,osm_overpass,"{""addr:housename"":""Cafe Trung Nguyên"",""addr:housenumber"":""7"",""addr:street"":""Nguyễn Văn Chiêm"",""alt_name"":""Cafe Trung Nguyên"",""amenity"":""cafe"",""branch"":""Legend Café   Nguyễn Văn Chiêm"",""brand"":""Trung Nguyên"",""brand:wikidata"":""Q3541154"",""brand:wikipedia"":""vi:Trung Nguyên (công ty)"",""cuisine"":""coffee_shop;vietnamese"",""int_name"":""Cafe Trung Nguyen"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Trung Nguyên Coffee"",""name:en"":""Trung Nguyên Coffee"",""name:vi"":""Cà phê Trung Nguyên"",""takeaway"":""yes"",""website"":""http://www.trungnguyen.com.vn/quan/thanhniensangtao.aspx""}"
1969579682,node,Cà Phê Gió Bấc,,wlan,cafe,,,10.783145,106.6955418,,,,,,2022-04-25T05:17:20Z,,osm_overpass,"{""addr:housenumber"":""10"",""addr:street"":""Công trường Quốc tế"",""amenity"":""cafe"",""cuisine"":""coffee_shop"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Cà Phê Gió Bấc""}"
